Event,StartRow,FailRow,EndRow,SlipDuration,Stiffness,NptsStiffness,StiffnessIntercept,FailTime,FailDisplacement,50_Mean_Velocity,Peak_Velocity
0,1223193,1226360,1228897,2.530000,0.000033,3167,0.312943,4065.740000,11630.300000,7.639012,19.348091
1,1228897,1231567,1233796,2.230000,0.000059,2670,0.013396,4070.940000,11682.400000,6.835310,13.996382
2,1233796,1236738,1239438,2.700000,0.000059,2764,0.002526,4076.110000,11733.800000,7.305340,23.764603
3,1239438,1242184,1244349,2.160000,0.000076,2509,-0.195672,4081.560000,11788.200000,7.599067,18.709409
4,1244349,1247329,1249396,2.070000,0.000083,2682,-0.290302,4086.700000,11839.500000,8.246847,18.125624
5,1249396,1252492,1254750,2.260000,0.000066,3096,-0.092079,4091.870000,11891.100000,7.368183,13.568262
6,1254750,1257299,1260146,2.850000,0.000070,2541,-0.138115,4096.670000,11939.000000,7.554262,17.652188
7,1260146,1263145,1264880,1.740000,0.000059,2999,-0.014844,4102.520000,11997.300000,7.486277,15.483269
8,1264880,1267340,1269749,2.400000,0.000074,2460,-0.188307,4106.720000,12039.300000,7.318211,14.952661
9,1269749,1272786,1274873,2.090000,0.000059,3033,-0.020488,4112.160000,12093.700000,7.962500,20.743166
10,1274873,1277626,1280834,3.210000,0.000053,2750,0.054752,4117.000000,12141.900000,7.453480,18.216265
11,1280834,1283377,1286264,2.890000,0.000036,2543,0.255612,4122.750000,12199.300000,8.143358,19.426212
12,1286264,1289153,1291739,2.580000,0.000033,2889,0.296842,4128.530000,12256.800000,7.793755,14.004155
13,1291739,1294535,1296822,2.290000,0.000064,2682,-0.087264,4133.910000,12310.500000,7.398280,16.546444
14,1296822,1299932,1302124,2.190000,0.000077,2849,-0.251643,4139.310000,12364.400000,7.271310,13.273375
15,1302124,1305317,1306982,1.670000,0.000076,3048,-0.251115,4144.690000,12418.100000,7.829118,20.177904
16,1306982,1310214,1312584,2.370000,0.000053,2879,0.041600,4149.590000,12467.000000,7.946576,13.563452
17,1312584,1315477,1317268,1.790000,0.000086,2096,-0.381508,4154.850000,12519.700000,6.704088,14.326537
18,1317268,1319441,1321750,2.310000,0.000071,2034,-0.197052,4158.820000,12559.200000,7.203011,13.868452
19,1321750,1324882,1327189,2.300000,0.000043,2667,0.155545,4164.260000,12613.500000,8.540291,28.565689
20,1327189,1329831,1332235,2.400000,0.000049,2642,0.078930,4169.210000,12662.800000,8.086318,14.684289
21,1332235,1334850,1336690,1.840000,0.000053,2615,0.018556,4174.230000,12713.000000,8.292030,15.701658
22,1336690,1340908,1342343,1.440000,0.000037,3268,0.227577,4180.280000,12773.600000,8.409750,13.672442
23,1342343,1344859,1347090,2.240000,0.000064,2433,-0.120153,4184.230000,12812.900000,7.743442,13.171459
24,1347090,1349111,1351508,2.390000,0.000060,2021,-0.076740,4188.490000,12855.400000,7.217351,12.881396
