MaxFrictionRow,MinFrictionRow
161671,161938
162157,162426
162670,162952
163170,163373
163611,163818
164071,164324
164571,164801
165071,165303
165535,165779
166056,166272
166544,166749
167055,167232
167521,167713
168024,168209
168542,168713
169077,169230
169632,169763
170205,170298
170795,170906
171360,171484
171946,172053
172500,172613
173075,173275
177842,178825
183191,184383
189101,190027
194837,195931
200344,201533
206243,207380
211753,212923
217999,218880
223753,224846
229498,230571
235541,236487
241599,242595
247489,248475
253903,254784
259994,260922
266135,267072
272391,273074
278740,279725
285094,285876
291501,292375
297646,298530
701656,475906
709350,710093
716852,717399
724345,724865
732050,732570
740250,740583
748248,748705
756347,756871
764749,765071
772015,772453
779400,779908
786571,787133
793651,794259
800600,801005
807701,808233
814297,814774
820548,820913
826899,827257
833749,834243
839962,840532
845803,846209
852512,852902
859447,859860
866755,867284
873344,873726
880009,880459
886650,887038
892998,893661
900351,900852
906968,907415
913852,914281
920351,920789
1008532,1017580
1607736,1669716
1764037,1769075
1852546,1858869
1943028,1947876
2034029,2041067
2124457,2143268
2223528,2228171
2309040,2313833
2400540,2406805
2485039,2490566
2577043,2581906
2669532,2675593
2762547,2769336
2855544,2859063
2943557,2948552
3037050,3041884
3129557,3133681
3219542,3225878
3307052,3312909
3395549,3400342
3486558,3490835
3576055,3580516
3666054,3671231
4145855,3935333
4153148,4153544
4160325,4161034
4168553,4168945
4176652,4177081
4184850,4185223
4192249,4192701
4199448,4199881
4206709,4207101
4213655,4214136
4221254,4221736
4228851,4229150
4236611,4236984
4244155,4244607
4251707,4252025
4259154,4259604
4266751,4267136
4274003,4274383
4281152,4281623
4289052,4289477
4297158,4297506
4305161,4305528
4312959,4313339
4321256,4321574
4328899,4329285
4348481,4348838
4355364,4355669
4362631,4363036
4370374,4370659
4378165,4378569
4386007,4386309
4393671,4394036
4401506,4401919
4409813,4410143
4418125,4418461
4426007,4426432
4433823,4434237
4441575,4441859
4449213,4449704
4456905,4457229
4465067,4465319
4473169,4473456
4481362,4481809
4489612,4489922
4498065,4498421
4506468,4506764
4515111,4515314
4523358,4523651
4531563,4531976
4539827,4540176
4547961,4548301
4556125,4556405
4563775,4564130
4571768,4572209
4579872,4580207
4588366,4588699
4596971,4597315
4605377,4605877
4613874,4614238
4622528,4622968
4630771,4631226
4639066,4639475
4647113,4647444
5027033,4829401
5035675,5036055
5044235,5044668
5053024,5053330
5061676,5061994
5070019,5070343
5078735,5079071
5087468,5087751
5096069,5096386
5104773,5105050
5113627,5113957
5122434,5122742
5131188,5131473
5139569,5139829
5147923,5148233
5156487,5156776
5158624,5158677
5159287,5159366
5159965,5160035
5160647,5160715
5161325,5161391
5162024,5162084
5162682,5162756
5163388,5163448
5164111,5164173
5164781,5164842
5165450,5165523
5166159,5166219
5166867,5166922
5167574,5167644
5168325,5168381
5169051,5169115
5169774,5169836
5170490,5170542
5171213,5171273
5171947,5172012
5172675,5172743
5173369,5173434
5174079,5174139
5174790,5174861
5175533,5175582
5176268,5176327
5177001,5177065
5177759,5177820
5178495,5178558
5179244,5179299
5179977,5180049
5180742,5180814
5181494,5181556
5182241,5182300
5182977,5183039
5183702,5183770
5184441,5184497
5189781,5190077
5199220,5199468
5208828,5209107
5218728,5218978
5228375,5228516
5237223,5237403
5246473,5246684
5660932,5435891
5667732,5667986
5675984,5676189
5684881,5685132
5693931,5694169
5703185,5703359
5712085,5712355
5721178,5721331
5729748,5729963
5738579,5738791
5747286,5747516
5756280,5756534
5763931,5763979
5764653,5764701
5765335,5765398
5766042,5766104
5766762,5766817
5767485,5767540
5768210,5768271
5768952,5769013
5769696,5769762
5770458,5770521
5771215,5771267
5771968,5772026
5772717,5772771
5773454,5773502
5774195,5774257
5774928,5774991
5775681,5775748
5776452,5776505
5777189,5777248
5777924,5777977
5778652,5778710
5779392,5779454
5780168,5780225
5780928,5780983
5781691,5781755
5782463,5782525
5783235,5783295
5783956,5784014
5784716,5784769
5785450,5785510
5793529,5793781
5802590,5802757
5811927,5812198
5821528,5821774
5830521,5830800
5839427,5839659
5848179,5848414
5857036,5857277
5865528,5865867
5874375,5874627
5883424,5883649
5892138,5892392
5900674,5900927
5909325,5909603
5918034,5918242
5926133,5926332
5934685,5934887
5943070,5943304
6356589,6136103
6363336,6363637
6371638,6371823
6416427,6418302
6501027,6503384
6589999,6593057
6676994,6679301
6765937,6767835
6783389,6783843
6790359,6790848
6797033,6797616
6803891,6804465
6810796,6811338
6817805,6818300
6824741,6825317
6831690,6832378
6838946,6839505
6845941,6846535
6853026,6853609
6860231,6860845
6867184,6868572
6953436,6956099
7033982,7035679
7117196,7117343
7126342,7126636
7135344,7135545
7144342,7144575
7153036,7153215
7161635,7161888
7170591,7170753
7179545,7179712
7187742,7187974
7196801,7197010
7205341,7205520
7213345,7213519
7221888,7222108
7230542,7230775
7239536,7239741
7248346,7248535
7256741,7256880
7264995,7265176
7273442,7273630
7282137,7282288
7290995,7291180
7299538,7299815
7308001,7308247
7316548,7316744
7325449,7325658
7334151,7334379
7714952,7525032
7722802,7722917
7731260,7731438
7740005,7740236
7749056,7749249
