        a,    std a,       b1,   std b1,     Dc1, std Dc1,      a-b,lin_term, wc,row
0.007989,0.000227,0.006247,0.000195,26.827568,2.120059,0.001742,1.40E-05,0,73738
0.007722,0.000202,0.007067,0.000183,25.45937,1.412434,0.000655,0,0,87494
0.008187,0.000298,0.008149,0.000285,12.821201,0.746246,0.000038,-4.00E-06,0,119757
0.007659,0.000281,0.008006,0.000262,12.188585,0.723161,-0.000348,0,0,133276
0.007,0.000255,0.008916,0.000246,13.058543,0.579982,-0.001916,-5.00E-06,0,148548
0.006214,0.000388,0.009097,0.000367,7.001698,0.498067,-0.002883,-2.60E-05,0,195629
0.005057,0.000327,0.008845,0.000317,10.753054,0.639225,-0.003788,-8.00E-06,0,210539
0.004836,0.000309,0.009142,0.000302,10.167999,0.56126,-0.004306,0,0,233421
0.006422,0.000132,0.009848,0.000125,9.004672,0.210925,-0.003426,0,0,285072
0.006017,0.000519,0.008818,0.000511,4.314459,0.366094,-0.002801,-1.10E-05,0,359199
0.007398,0.000502,0.010425,0.000493,5.109744,0.358817,-0.003027,0,0,375495
0.006224,0.000566,0.009584,0.000563,4.785203,0.421712,-0.00336,0,0,394250
