RowNumber Stress
141180.1929 5.2086
141765.5154 5.2080
142179.6586 5.2080
142588.2799 5.2074
143002.4232 5.2060
143405.5226 5.2054
143769.9686 5.2057
144222.7652 5.2054
144587.2113 5.2046
145023.4422 5.2042
145404.4539 5.2054
145779.9438 5.2033
146210.6528 5.2039
146652.4055 5.2025
147027.8954 5.2028
147430.9948 5.2010
147839.6162 5.2003
148198.5403 5.2003
148612.6835 5.1994
149269.7908 5.2005
149650.8026 5.1990
149998.6829 5.1994
150412.8261 5.1993
150799.3598 5.1982
151141.7182 5.1971
151530.5583 5.1968
151956.9393 5.1954
152345.1369 5.1946
152713.8027 5.1946
153098.8184 5.1948
153473.8404 5.1940
153851.5897 5.1940
154285.9589 5.1939
154624.8062 5.1936
155004.8218 5.1936
155378.9500 5.1925
155759.4194 5.1925
156177.9357 5.1910
156564.7462 5.1916
156919.8509 5.1909
157318.8674 5.1906
157727.3842 5.1904
158126.8770 5.1825
158520.0287 5.1846
158925.8627 5.1808
159294.0888 5.1800
159697.2330 5.1819
160074.9822 5.1809
160509.8700 5.1794
160925.7116 5.1781
161326.1589 5.1760
161707.5373 5.1766
162142.9443 5.1787
162549.7480 5.1785
163004.2239 5.1749
163433.2746 5.1776
163801.9404 5.1728
164246.8818 5.1746
164675.9325 5.1741
165111.3396 5.1738
165524.4995 5.1729
165960.4263 5.1720
166389.9893 5.1714
166819.5522 5.1711
167257.6426 5.1741
167702.7113 5.1741
168133.9281 5.1757
168583.2634 5.1720
169007.2329 5.1706
169460.1918 5.1665
169897.3655 5.1700
170364.1198 5.1679
170781.8376 5.1664
171219.5333 5.1667
171697.1846 5.1680
172136.6964 5.1627
172576.2082 5.1639
173052.0433 5.1656
173475.2097 5.1561
173945.5963 5.1606
174385.1081 5.1555
174848.2301 5.1533
175298.6389 5.1503
175807.1650 5.1506
176279.3677 5.1555
176765.7655 5.1637
177256.5559 5.1686
177739.4303 5.1746
178201.1954 5.1720
178665.5992 5.1725
179140.5576 5.1697
179644.5412 5.1668
180132.6929 5.1692
180652.5085 5.1666
181111.6350 5.1772
181655.1985 5.1746
182114.3250 5.1702
182607.1656 5.1720
183070.4624 5.1712
183541.6563 5.1684
184108.2162 5.1731
184611.8250 5.1713
185055.6349 5.1637
216079.6737 5.2963
216650.8069 5.2802
217269.2062 5.2748
217832.4617 5.2656
218466.6165 5.2613
219081.0771 5.2586
219648.2714 5.2554
220227.2823 5.2586
220762.9659 5.2629
221361.6710 5.2478
221905.2323 5.2441
222499.9986 5.2495
223138.0922 5.2344
223705.2866 5.2387
224265.2710 5.2371
224793.0768 5.2349
225368.1489 5.2274
225903.8324 5.2290
226505.0400 5.2274
227114.1065 5.2274
227657.0195 5.2306
228262.8790 5.2263
228801.8579 5.2177
229376.2442 5.2177
229978.1696 5.2145
230560.4241 5.2204
231123.0080 5.2037
231654.1186 5.2058
232303.2537 5.2091
232810.7594 5.2118
233353.6725 5.2128
233904.4538 5.2134
234482.7743 5.2204
235021.1104 5.2150
235586.9529 5.2101
236164.5836 5.2080
236765.7912 5.2042
237346.6579 5.2015
237966.7724 5.1950
267584.0843 5.4076
268099.1827 5.3533
268720.6239 5.3396
269322.5692 5.3327
269963.4381 5.3128
270561.3621 5.3128
271159.2862 5.2905
271867.8345 5.2836
272552.4964 5.2859
273167.6445 5.2728
273710.8072 5.2766
274445.8951 5.2782
275002.0899 5.2789
275607.0737 5.2665
276206.2669 5.2588
276766.2876 5.2596
277407.2362 5.2689
278041.7106 5.2565
278663.2365 5.2424
279278.2882 5.2455
279899.8141 5.2338
280508.3916 5.2276
281168.7628 5.2471
281783.8145 5.2338
