Type,StartRow,EndRow,AvgDisp,Slope,Intercept,RValue,PValue,StdErr,Behavior
L,27358,49384,1061.63,4.019192e-04,0.013961,9.990223e-01,0.000000e+00,3.485440e-07,stable
U,101069,105224,5021.92,2.529498e-03,-12.267242,9.994078e-01,0.000000e+00,4.285514e-06,stable
L,107934,112533,4943.45,2.226834e-03,-10.570403,9.998231e-01,0.000000e+00,1.936358e-06,stable
U,180091,183846,11203.39,2.756847e-03,-30.450160,9.995592e-01,0.000000e+00,4.222725e-06,stable
L,186521,190882,11138.30,2.363839e-03,-25.891530,9.998029e-01,0.000000e+00,2.240544e-06,stable
U,250307,253923,17230.02,2.803235e-03,-47.863469,9.996532e-01,0.000000e+00,3.838816e-06,stable
L,260133,264254,17169.66,2.479817e-03,-42.139495,9.998209e-01,0.000000e+00,2.284792e-06,stable
U,343493,347053,23410.03,2.838901e-03,-66.023156,9.993589e-01,0.000000e+00,5.316302e-06,stable
L,349000,352885,23351.58,2.577895e-03,-59.760326,9.997867e-01,0.000000e+00,2.642858e-06,stable
U,411038,414388,27943.77,2.977810e-03,-82.775579,9.994632e-01,0.000000e+00,5.202764e-06,stable
L,416049,419676,27894.27,2.704285e-03,-74.996448,9.997724e-01,0.000000e+00,2.937185e-06,stable
U,428710,431937,29051.63,3.016677e-03,-87.202942,9.994578e-01,0.000000e+00,5.373994e-06,stable
