Event,StartRow,FailRow,EndRow,SlipDuration,Stiffness,NptsStiffness,StiffnessIntercept,FailTime,FailDisplacement,50_Mean_Velocity,Peak_Velocity
0,1184116,1186343,1188236,1.890000,0.000035,2227,0.302248,3227.790000,11320.600000,7.517313,12.563802
1,1188236,1191159,1194502,3.350000,0.000026,2923,0.396618,3232.600000,11368.800000,7.929648,11.966110
2,1194502,1196549,1199110,2.560000,0.000027,2047,0.386059,3237.990000,11422.600000,8.007738,11.611439
3,1199110,1201086,1204759,3.670000,0.000033,1976,0.322214,3242.530000,11467.800000,8.255095,14.122192
4,1204759,1206355,1209243,2.890000,0.000046,1596,0.171124,3247.800000,11520.400000,8.019567,14.001974
5,1209243,1211242,1213980,2.730000,0.000073,1850,-0.152993,3252.690000,11569.200000,7.879893,13.477591
6,1213980,1216461,1219031,2.570000,0.000061,2481,-0.013204,3257.910000,11621.300000,7.576578,13.013489
7,1219031,1221778,1224045,2.270000,0.000070,2408,-0.118961,3263.220000,11674.400000,7.728708,12.999553
8,1224045,1226894,1229924,3.030000,0.000053,2849,0.075911,3268.340000,11725.300000,7.371618,12.189787
9,1229924,1232632,1234877,2.240000,0.000094,2331,-0.409737,3274.080000,11782.500000,7.466853,13.825223
10,1234877,1237939,1240620,2.680000,0.000083,3062,-0.284236,3279.380000,11835.400000,6.922294,13.601031
11,1240620,1243286,1245822,2.540000,0.000101,2317,-0.504717,3284.730000,11888.500000,7.306906,14.630209
12,1245822,1248400,1250753,2.360000,0.000109,2244,-0.610540,3289.840000,11939.700000,6.756976,13.349585
13,1250753,1253513,1256003,2.490000,0.000115,2760,-0.678999,3294.960000,11990.600000,7.105792,16.542945
14,1256003,1258977,1261173,2.200000,0.000116,2819,-0.698907,3300.420000,12045.100000,7.542324,15.542410
15,1261173,1264261,1266360,2.090000,0.000136,2901,-0.954568,3305.710000,12097.800000,6.340463,13.590224
16,1266360,1269433,1271764,2.330000,0.000151,2665,-1.138047,3310.880000,12149.400000,6.476815,14.709695
