MaxFrictionRow,MinFrictionRow
993196,997442
999654,1003335
1006182,1010923
1014368,1018013
1021615,1025075
1029011,1032331
1035794,1039162
1043165,1046172
1050891,1053175
1058953,1060515
1068227,1069616
1079298,1080831
1090229,1091219
1102913,1104047
1115473,1116721
1128258,1129500
1141139,1142023
1153824,1155002
1167402,1168859
1180459,1181506
1193423,1194246
1206636,1207507
1220260,1221107
1233494,1234365
1246489,1247299
1259877,1260628
1273384,1274082
1285954,1286809
1299511,1300376
1313032,1313819
1326346,1326968
1339483,1340168
1352772,1353435
1366316,1367040
1379501,1380424
1392700,1393321
1405898,1406474
1419014,1419598
1432197,1433048
1446206,1446945
1459100,1459829
1550967,1561808
1574208,1574844
1587483,1588146
1601034,1601361
1614420,1615460
1627465,1628155
1640690,1641692
1653131,1653706
1666780,1667387
1679774,1680311
1692694,1693476
1705766,1706257
1718657,1719676
1732212,1733060
1744707,1745170
1756656,1757633
1770872,1771751
1783975,1784747
1796973,1797982
1810806,1811415
1822858,1823613
1836689,1837239
1849464,1850021
1861714,1862493
1875719,1876261
1888475,1889121
1901157,1902200
1913950,1914721
1926811,1927291
1938634,1939320
1951657,1952377
1964671,1965320
1977456,1978000
1989716,1990284
2001756,2002610
2015183,2015826
2027686,2028465
2041760,2042353
2053980,2054671
2066084,2066910
2078881,2079729
2090915,2091758
2103099,2103788
2115895,2116633
2126765,2127711
2140010,2140790
2152731,2153222
2165444,2166070
2177743,2178554
2190238,2190859
2203463,2203959
2215414,2215935
2227670,2228415
2240233,2240853
2251626,2252369
2263801,2264741
2276656,2277118
2289149,2289885
2300934,2301678
2313133,2313605
2325688,2326369
2338147,2338737
2350920,2351615
2626426,2634935
2646476,2646863
2658254,2658546
2669465,2669803
2681414,2681800
2693664,2694325
2706252,2706803
2719648,2720020
2731318,2731750
2743904,2744601
2756041,2756547
2767643,2768133
2779629,2780189
2791650,2792220
2804468,2804907
2816643,2817166
2829636,2829988
2841821,2842483
2853346,2853638
2867012,2867516
2879903,2880405
2891619,2891840
2903932,2904597
2916082,2916471
2929292,2929604
2941679,2942006
2953829,2954270
2966635,2966959
2978838,2979173
2990644,2991068
3001941,3002480
3015441,3015784
3029099,3029443
3041228,3041538
3053985,3054262
3065887,3066194
3078881,3079250
3091036,3091422
3103448,3103737
3115811,3116182
3128409,3128825
3141632,3141998
3154240,3154798
3166869,3167410
3178832,3179279
3191835,3192233
3204642,3204994
3217058,3217503
3229883,3230279
3242231,3242604
3255041,3255449
3267277,3267693
3280034,3280345
3292212,3292407
3304834,3305075
3317209,3317610
3329080,3329416
3341115,3341469
3353466,3353795
3364839,3365321
3379258,3379495
3391990,3392343
3405245,3405635
3418233,3418608
3430609,3430931
3442622,3442900
3455185,3455467
3467328,3467586
3478810,3479208
3491812,3492116
3504620,3504895
3516839,3517225
3529627,3529937
3542389,3542766
3554235,3554617
3566023,3566461
3578836,3579194
3591109,3591451
3603857,3604201
3615745,3616208
3627811,3628312
3640625,3641027
3652632,3652990
3665629,3665858
3678390,3678633
3688405,3691392
3703632,3703991
3714791,3715117
3727806,3728118
3740301,3740637
3753060,3753353
3764844,3765068
3777200,3777508
3784524,3789143
3800466,3800876
3812362,3812739
3824619,3825036
3836389,3836759
3847602,3847934
3860006,3860380
3871864,3872207
3884145,3884504
3896871,3897292
3908614,3908905
3920797,3921297
3932813,3933303
3944357,3944845
3956019,3956399
3968035,3968523
3979183,3979524
3991463,3991819
4003810,4004347
4015617,4016105
4028237,4028535
4173763,4183315
4194463,4194821
4206058,4206518
4217866,4218295
4228922,4229397
4240656,4241225
4252040,4252531
4263618,4264024
4274861,4275066
4286966,4287338
4298812,4299133
4311261,4311732
4322622,4323004
4334623,4334982
4346293,4346718
4357977,4358518
4370429,4370749
4382297,4382644
4394994,4395371
4406619,4406923
4418234,4418523
4429649,4430042
4441097,4441357
4453274,4453619
4464921,4465235
4476100,4476481
4487642,4488001
4499942,4500364
4511438,4511806
4523656,4524067
4534847,4535281
4546618,4547112
4558851,4559287
4570638,4570923
4581934,4582396
4593918,4594408
4604222,4604507
4616034,4616395
4627272,4627675
4639376,4639750
4650596,4650941
4662061,4662515
4672792,4673254
4684614,4685139
4696099,4696515
4707970,4708316
4720450,4720823
4732615,4732850
4744621,4745086
4756630,4756963
4768228,4768536
4779615,4779978
4791624,4792000
4802262,4802590
4813151,4813515
4824624,4825191
4836618,4836964
4847442,4847810
4858832,4859191
4869949,4870311
4882276,4882624
4894220,4894526
4905886,4906354
4917613,4917998
4928622,4929076
4939856,4940192
4951649,4952228
4963152,4963438
4974202,4974661
4986365,4986694
4998447,4998834
5010304,5010571
5021644,5022134
5033356,5033728
5045299,5045709
5055989,5056387
5067843,5068286
5080093,5080506
5091828,5092128
5103621,5103934
5114762,5115173
5126592,5126847
5137622,5137967
5149088,5149451
5160173,5160619
5172137,5172564
5181856,5182276
5193656,5194064
5205164,5205529
5216811,5217217
5227189,5227593
5238950,5239304
5250833,5251224
5261813,5262276
5272832,5273148
5284053,5284516
5294034,5294472
5305845,5306186
5317362,5317725
5328265,5328652
5339615,5339971
5350631,5350988
5362461,5362864
5374615,5374954
5385820,5386139
5397603,5398099
5408866,5409259
5419904,5420197
5431293,5431715
5442796,5443242
5454016,5454554
5464791,5465202
5476076,5476519
5487308,5487731
5498659,5499121
5510043,5510509
5521377,5521780
5533428,5533759
5545829,5546204
5558064,5558444
5570069,5570350
5580812,5581282
