Type,StartRow,EndRow,AvgDisp,Slope,Intercept,RValue,PValue,StdErr,Behavior
L,26460,54416,1026.63,4.972034e-04,-0.067555,9.973237e-01,0.000000e+00,7.948181e-07,stable
U,95703,99848,5967.41,3.167294e-03,-18.465189,9.992093e-01,0.000000e+00,7.012344e-06,stable
L,99848,104538,5947.07,3.074486e-03,-17.846715,9.996085e-01,0.000000e+00,4.633288e-06,stable
U,294226,298790,12040.96,3.384790e-03,-40.320332,9.990190e-01,0.000000e+00,8.549358e-06,stable
L,298790,303688,12031.23,3.033764e-03,-36.062386,9.996097e-01,0.000000e+00,4.605169e-06,stable
U,352799,358071,18154.89,3.560069e-03,-64.196479,9.993116e-01,0.000000e+00,7.774310e-06,stable
L,358071,363044,18134.35,3.125018e-03,-56.233148,9.995720e-01,0.000000e+00,5.065445e-06,stable
U,428242,432477,24015.93,3.622392e-03,-86.559103,9.993842e-01,0.000000e+00,7.520704e-06,stable
L,432477,437220,23990.68,3.123657e-03,-74.500978,9.996522e-01,0.000000e+00,4.502362e-06,stable
U,489451,493653,30064.85,3.827202e-03,-114.627816,9.994540e-01,0.000000e+00,7.657810e-06,stable
L,493653,498181,30040.20,3.298785e-03,-98.658459,9.996471e-01,0.000000e+00,4.947140e-06,stable
U,555850,560546,36109.12,3.720374e-03,-133.902956,9.992633e-01,0.000000e+00,8.554298e-06,stable
L,560546,564927,36084.88,3.220527e-03,-115.776175,9.995073e-01,0.000000e+00,5.653788e-06,stable
U,584573,589380,38514.01,3.766823e-03,-144.639634,9.991852e-01,0.000000e+00,9.109272e-06,stable
