RowNumber Stress
1113849.5876 6.1506
1121105.8380 6.1435
1126261.5949 6.1424
1131608.3057 6.1435
1137145.9705 6.1402
1142492.6814 6.1419
1148603.2081 6.1408
1153949.9189 6.1348
1160060.4456 6.1310
1165775.9545 6.1382
1171492.7191 6.1318
1176873.2034 6.1318
1182646.0147 6.1189
1188362.7793 6.1156
1194583.9643 6.1199
1201365.6164 6.1210
1207867.0350 6.1259
1214704.7338 6.1216
1221038.0122 6.1167
1227651.5242 6.1189
1234713.4099 6.1156
1241775.2955 6.1135
1248500.9010 6.1119
1255506.7399 6.1049
1263073.0460 6.1151
1270919.5856 6.1194
1277861.2566 6.1065
1285298.0578 6.1038
1293014.4381 6.1054
1299995.7453 6.0963
1307814.8093 6.0974
1315187.0697 6.1011
1323099.3101 6.1033
1331493.3780 6.1082
1339665.0865 6.1022
1347725.6152 6.1049
1355397.0150 6.0990
1363559.1743 6.1055
1371665.8086 6.1044
1380438.7417 6.1028
1388323.2764 6.0952
1396207.8112 6.0848
1404703.1198 6.0952
1413253.9533 6.0859
1420694.2889 6.0854
1429189.5975 6.0919
1436787.6186 6.0952
1444699.8752 6.0941
1453165.4365 6.0941
1461344.7761 6.1001
1469745.1789 6.1100
1477290.0824 6.0967
1570750.4491 6.0783
1578297.3803 6.0576
1586712.5425 6.0704
1593925.5387 6.0675
1601071.7478 6.0675
1609219.7620 6.0616
1616633.1192 6.0616
1624847.9204 6.0517
1632795.5736 6.0488
1640409.2918 6.0665
1648223.3710 6.0744
1655102.4321 6.0645
1662649.3633 6.0636
1670062.7205 6.0596
1678143.9477 6.0507
1685356.9439 6.0576
1692503.1530 6.0488
1699782.9362 6.0448
1706261.2754 6.0379
1714342.5025 6.0320
1723291.9608 6.0606
1730296.4012 6.0517
1737692.4424 6.0477
1745488.2696 6.0287
1753617.2519 6.0467
1761279.8171 6.0616
1768467.5561 6.0447
1776976.4030 6.0576
1784925.5144 6.0526
1792789.9706 6.0385
1800456.1632 6.0334
1809367.5995 6.0486
1817081.8190 6.0425
1826104.1530 6.0577
1832755.6547 6.0456
1840968.4831 6.0304
1848974.8365 6.0385
1857561.7765 6.0334
1865726.7304 6.0223
1872389.3328 6.0163
1881730.0401 6.0303
1889354.5860 6.0323
1897370.1343 6.0213
1905506.4977 6.0163
1914358.8610 6.0213
1923146.1334 6.0303
1931663.0779 6.0363
1939789.9333 6.0303
1948176.8481 6.0293
1957083.8817 6.0283
1965145.7223 6.0253
1973597.6519 6.0283
1982699.7300 6.0253
1990436.4964 6.0233
1999213.5003 6.0142
2007080.2963 6.0202
2015782.1047 6.0162
2024398.8005 6.0192
2032691.5603 6.0182
2042020.9151 6.0223
2050831.9724 6.0253
2059059.9451 6.0202
2066769.6202 6.0263
2075386.3160 6.0192
2084262.1605 6.0355
2092286.3837 6.0162
2101345.9906 6.0284
2109758.4827 6.0100
2118623.9551 6.0080
2127026.6166 5.9957
2136118.9850 6.0070
2145071.9093 6.0317
2153702.7860 6.0214
2162526.8913 6.0369
2170771.3108 6.0235
2179917.4637 6.0245
2188934.7975 6.0307
2197436.8551 6.0183
2206196.5508 6.0142
2214753.0074 6.0183
2224678.2883 6.0214
2232298.3426 6.0287
2240613.0440 6.0099
2250462.7673 6.0130
2259672.8981 6.0172
2266772.3739 6.0016
2275918.5454 5.9974
2284872.8393 5.9901
2293059.6222 5.9943
2302653.5084 5.9995
2310840.2914 5.9922
2319848.0060 5.9881
2329153.3569 6.0037
2337630.1493 6.0006
2346489.3533 5.9902
2355603.4984 6.0121
2362295.7029 5.8898
2668953.4920 6.0176
2676480.8419 6.0054
2685712.4974 6.0013
2693736.9364 5.9917
2703394.6683 5.9999
2710779.9927 6.0054
2719897.8909 5.9903
2727743.5243 5.9862
2736790.7412 5.9848
2745968.5833 5.9944
2754007.4399 5.9985
2762469.3942 5.9999
2771354.4463 5.9972
2780027.9494 6.0068
2788278.3549 6.0054
2796881.3418 5.9917
2806471.5566 6.0040
2813170.6038 6.0054
2823042.8838 5.9985
2832280.5173 5.9944
2840822.9703 5.9930
2849153.6271 5.9821
2857978.4753 5.9972
2866450.3295 5.9958
2875204.5790 6.0109
2883394.0381 5.9766
2893207.2693 5.9738
2901608.5248 6.0233
2908880.1997 5.9903
2918058.0418 5.9889
2925894.5071 6.0082
2933801.5710 5.9958
2943321.2696 6.0095
2952347.3542 5.9944
2960668.2760 5.9917
2969341.7791 5.9972
2977521.6683 5.9917
2986688.7855 5.9972
2995915.6241 5.9889
3003945.0867 5.9903
3015792.8707 6.0570
3022943.6043 5.9917
3031145.9163 6.0084
3040259.5963 5.9806
3047901.0665 5.9792
3056944.6413 5.9820
3066058.3213 6.0070
3074891.5804 6.0042
3083163.9977 5.9875
3092337.0510 5.9931
3100319.7081 5.9833
3109702.8314 5.9945
3119564.5802 6.0001
3128167.3823 5.9987
3135860.9452 6.0056
3145512.8695 5.9749
3155514.5012 5.9805
3164327.1278 5.9861
3173875.5582 5.9847
3182099.7537 5.9749
3189626.9835 5.9889
