Event,StartRow,FailRow,EndRow,SlipDuration,Stiffness,NptsStiffness,StiffnessIntercept,FailTime,FailDisplacement,50_Mean_Velocity,Peak_Velocity
0,1102086,1106170,1109423,3.260000,0.000014,4084,0.539711,3471.350000,10241.600000,9.742507,11.214626
1,1109423,1112515,1116092,3.580000,0.000023,3092,0.446890,3477.700000,10305.100000,9.310727,11.674159
2,1116092,1118115,1122866,4.750000,0.000080,640,-0.144146,3483.300000,10360.800000,9.370993,10.905105
3,1122866,1125384,1128760,3.370000,0.000044,1806,0.224083,3490.570000,10433.400000,9.390223,10.822835
4,1128760,1131834,1135605,3.770000,0.000051,1953,0.146702,3497.020000,10498.100000,9.061678,10.750490
5,1135605,1138198,1141946,3.750000,0.000036,2111,0.301426,3503.380000,10561.400000,9.413550,11.183854
6,1141946,1144450,1147356,2.910000,0.000051,2212,0.148472,3509.630000,10623.800000,9.196834,10.708564
7,1147356,1150971,1153656,2.690000,0.000051,3615,0.134734,3516.150000,10688.900000,9.333265,11.098222
8,1153656,1156770,1159825,3.060000,0.000074,3072,-0.109243,3521.950000,10746.400000,8.631012,12.574888
9,1159825,1163386,1165907,2.520000,0.000075,3166,-0.122894,3528.570000,10812.300000,8.597865,11.506542
10,1165907,1169249,1171990,2.740000,0.000095,3083,-0.348468,3534.430000,10870.800000,8.594776,11.832305
11,1171990,1175469,1178479,3.010000,0.000108,2950,-0.494121,3540.650000,10932.700000,8.192322,12.655329
12,1178479,1181854,1184191,2.330000,0.000140,2579,-0.848825,3547.040000,10996.500000,8.400076,13.189842
13,1184191,1188253,1190863,2.610000,0.000153,3943,-1.006680,3553.440000,11060.200000,7.833366,16.042103
14,1190863,1195150,1196921,1.770000,0.000218,2925,-1.735331,3560.330000,11129.200000,8.040333,21.047393
15,1196921,1202150,1203678,1.530000,0.000238,4305,-1.981505,3567.330000,11198.900000,6.885437,36.412742
16,1203678,1209364,1211242,1.880000,0.000303,3743,-2.719284,3574.550000,11270.900000,6.424666,34.485673
17,1211242,1216851,1218638,1.790000,0.000298,4121,-2.687907,3582.030000,11345.800000,6.436190,45.426332
18,1218638,1224944,1226424,1.480000,0.000320,3915,-2.960350,3590.130000,11426.100000,6.664009,72.765007
19,1226424,1233559,1235016,1.460000,0.000363,3506,-3.481366,3598.740000,11512.200000,6.216002,68.822882
20,1235016,1241711,1243319,1.610000,0.000351,3781,-3.375934,3606.890000,11593.600000,6.246795,77.475968
21,1243319,1250508,1251895,1.390000,0.000358,3977,-3.487434,3615.690000,11681.500000,5.439856,107.462401
22,1251895,1259426,1261044,1.620000,0.000400,2750,-4.009860,3624.610000,11770.200000,5.989995,90.173638
23,1261044,1268573,1269699,1.120000,0.000375,3551,-3.748550,3633.760000,11861.600000,5.883934,137.863041
24,1269699,1278086,1279745,1.660000,0.000424,3067,-4.372226,3643.270000,11956.400000,5.842122,91.788898
25,1279745,1287191,1288051,0.860000,0.000388,3254,-3.978580,3652.370000,12047.300000,6.446868,180.433046
26,1288051,1297380,1299387,2.010000,0.000503,2033,-5.404788,3662.560000,12148.800000,5.695104,52.710086
27,1299387,1305658,1306534,0.880000,0.000340,3597,-3.460488,3670.840000,12231.800000,7.180801,182.322426
28,1306534,1315550,1317742,2.200000,0.000506,1819,-5.538186,3680.730000,12330.200000,5.433056,97.138276
29,1317742,1324861,1325824,0.970000,0.000379,4033,-4.009857,3690.040000,12423.300000,6.283976,189.504486
30,1325824,1335380,1336812,1.440000,0.000501,1945,-5.562356,3700.560000,12528.100000,5.381317,107.801641
31,1336812,1344249,1345312,1.070000,0.000419,2775,-4.588540,3709.430000,12616.700000,5.658910,211.682995
32,1345312,1355152,1356744,1.590000,0.000481,3554,-5.418976,3720.340000,12724.400000,5.064165,143.576795
33,1356744,1364831,1365692,0.870000,0.000416,3461,-4.633089,3730.010000,12820.200000,5.201727,228.573958
34,1365692,1376158,1377290,1.130000,0.000496,3330,-5.699803,3741.340000,12932.000000,4.478221,173.693030
35,1377290,1386071,1386991,0.920000,0.000490,2098,-5.672851,3751.250000,13030.900000,5.996824,239.212043
36,1386991,1397326,1398331,1.000000,0.000519,2963,-6.111381,3762.510000,13143.000000,4.510249,191.693493
37,1398331,1407274,1408109,0.830000,0.000454,4113,-5.306444,3772.460000,13242.500000,4.848859,257.223866
38,1408109,1419046,1419955,0.910000,0.000490,4451,-5.840518,3784.230000,13359.900000,4.485963,223.336022
39,1419955,1429593,1430533,0.940000,0.000577,1309,-7.049593,3794.780000,13465.200000,5.282044,226.173239
40,1430533,1440331,1441390,1.060000,0.000472,4366,-5.694753,3805.510000,13572.200000,5.013619,239.529315
41,1441390,1451220,1452356,1.140000,0.000513,3142,-6.314300,3816.400000,13680.800000,5.146254,212.234272
42,1452356,1461847,1462738,0.890000,0.000549,1677,-6.857373,3827.030000,13787.100000,4.976344,234.381970
43,1462738,1472764,1473640,0.870000,0.000562,1815,-7.099488,3837.950000,13895.800000,4.609298,255.385426
44,1473640,1483844,1484822,0.980000,0.000520,3114,-6.567274,3849.030000,14006.400000,4.311519,249.487198
45,1484822,1572582,1581515,8.930000,0.000614,1381,-7.951274,3937.770000,14173.100000,nan,269.627549
46,1581515,1590728,1591351,0.620000,0.000617,2032,-8.137256,3955.910000,14354.200000,5.212066,268.200785
47,1591351,1600136,1601063,0.930000,0.000632,1363,-8.422601,3965.320000,14448.000000,4.929244,244.251229
48,1601063,1610503,1611132,0.630000,0.000499,4616,-6.558558,3975.690000,14551.800000,5.684907,307.604762
49,1611132,1621103,1621676,0.570000,0.000474,6434,-6.246742,3986.290000,14657.100000,6.844417,272.137790
50,1621676,1631275,1631766,0.490000,0.000490,4917,-6.525574,3996.460000,14759.000000,3.527087,309.582647
51,1631766,1641490,1642310,0.820000,0.000518,3923,-6.986356,4006.670000,14861.000000,6.308509,269.740682
52,1642310,1651431,1652402,0.980000,0.000483,5235,-6.521728,4016.610000,14959.900000,5.829353,326.210941
53,1652402,1662424,1663181,0.750000,0.000532,3263,-7.312427,4027.610000,15069.400000,4.610796,314.813136
54,1663181,1673355,1674084,0.730000,0.000510,4032,-7.031792,4038.540000,15178.900000,3.808443,260.335797
55,1674084,1683400,1684047,0.650000,0.000499,3758,-6.911779,4048.580000,15279.000000,6.518346,325.196932
56,1684047,1694495,1695289,0.790000,0.000652,1442,-9.310935,4059.680000,15389.600000,5.554820,227.303006
57,1695289,1704436,1705051,0.610000,0.000495,3514,-6.962956,4069.620000,15489.400000,4.692162,314.526660
58,1705051,1715050,1715950,0.900000,0.000544,3380,-7.771835,4080.230000,15594.600000,2.486096,310.742449
59,1715950,1726206,1726904,0.700000,0.000566,2348,-8.173169,4091.390000,15706.300000,4.150810,244.778800
