MaxFrictionRow,MinFrictionRow
1098856,1102086
1106170,1109423
1112515,1116092
1118115,1122866
1125384,1128760
1131834,1135605
1138198,1141946
1144450,1147356
1150971,1153656
1156770,1159825
1163386,1165907
1169249,1171990
1175469,1178479
1181854,1184191
1188253,1190863
1195150,1196921
1202150,1203678
1209364,1211242
1216851,1218638
1224944,1226424
1233559,1235016
1241711,1243319
1250508,1251895
1259426,1261044
1268573,1269699
1278086,1279745
1287191,1288051
1297380,1299387
1305658,1306534
1315550,1317742
1324861,1325824
1335380,1336812
1344249,1345312
1355152,1356744
1364831,1365692
1376158,1377290
1386071,1386991
1397326,1398331
1407274,1408109
1419046,1419955
1429593,1430533
1440331,1441390
1451220,1452356
1461847,1462738
1472764,1473640
1483844,1484822
1572582,1581515
1590728,1591351
1600136,1601063
1610503,1611132
1621103,1621676
1631275,1631766
1641490,1642310
1651431,1652402
1662424,1663181
1673355,1674084
1683400,1684047
1694495,1695289
1704436,1705051
1715050,1715950
1726206,1726904
1736132,1736739
1746968,1747714
1757644,1758481
1768267,1769154
1779195,1779951
1789841,1790484
1800459,1801263
1811261,1811904
1822161,1822883
1832667,1833455
1843200,1844070
1853700,1854473
1864772,1865707
1876354,1877141
1886836,1887633
1897490,1898330
1907413,1908469
1917520,1918235
1927628,1928322
1937786,1938372
1947210,1947991
1958718,1959478
1968708,1969517
1979462,1980255
1988817,1989777
1999654,2000374
2009746,2010576
2020067,2020684
2030076,2030647
2040719,2041454
2050552,2051261
2061107,2061698
2071202,2071875
2081355,2082020
2091323,2091926
2102064,2102850
2112396,2113120
2122986,2123606
2133232,2133896
2143207,2143799
2153441,2154122
2164152,2164807
2173842,2174380
2183760,2184353
2193828,2194399
2203566,2204016
2214503,2214958
2224745,2225352
2235006,2235627
2245399,2246041
2254540,2255147
2265242,2265627
2275066,2275748
2284489,2284884
2294826,2295567
2305519,2306076
2315450,2316270
2325813,2326661
2336345,2336828
2346295,2347135
2357494,2357997
2367657,2368115
2377836,2378405
2387878,2388515
2716240,2558909
2731436,2732024
2740683,2741234
2750423,2750774
2760051,2760660
2770211,2770527
2780590,2780904
2790448,2790852
2800650,2801110
2810549,2811111
2820014,2820391
2829724,2830499
2839527,2840266
2849821,2850369
2858830,2859614
2868447,2869049
2878025,2878879
2888485,2888947
2898183,2898898
2908191,2908579
2918636,2919143
2928829,2929423
2938834,2939343
2949038,2949893
2959138,2960140
2969064,2969705
2979081,2979462
2988661,2989293
2999284,2999738
3008500,3009148
3018143,3018647
3028131,3028541
3037312,3037703
3047327,3047887
3057016,3057555
3067673,3068086
3077260,3077950
3087372,3087789
3097063,3097682
3107039,3107350
3116741,3117051
3126390,3126738
3136124,3136502
3145594,3146076
3155004,3155348
3165263,3165764
3174851,3175317
3184450,3184886
3193717,3194209
3203405,3203919
3213541,3213953
3223694,3224328
3232206,3232845
3242060,3242771
3252093,3252663
3262123,3262357
3271541,3272089
3282013,3282501
3291746,3292179
3301256,3301885
3310809,3311339
3320689,3321216
3330669,3331225
3340003,3340545
3350185,3350626
3360383,3360789
3369599,3369954
3378785,3379400
3388835,3389392
3398560,3399131
3409064,3409485
3419206,3419945
3429041,3429581
3439126,3439127
3448095,3448403
3456974,3457931
3467641,3468135
3477759,3478274
3487782,3488180
3497595,3497777
3507619,3508091
3517303,3517926
3527007,3527436
3536196,3536454
3545926,3546490
3556013,3556327
3565537,3565989
3575055,3575449
3584069,3584547
3593301,3593807
3603064,3603414
3612414,3613039
3622039,3622566
3631143,3631823
3641000,3641379
3650701,3651156
3660419,3660815
3670026,3670467
3679328,3679818
3688695,3689269
3698365,3698970
3707683,3708142
3717019,3717417
3726652,3727051
3736414,3736734
