V0,V1,StepRow
10,3,69050
3,10,85710
10,30,90570
30,100,92270
100,300,92756
300,10,92965
10,3,113045
3,10,129673
10,30,134601
30,100,136264
100,300,136769
300,10,136948
10,3,171274
3,10,187826
10,30,192835
30,100,194460
100,300,194968
300,10,195172
10,3,215085
3,10,231862
10,30,236842
30,100,238467
100,300,238962
300,10,239139
10,3,259074
3,10,275833
10,30,280781
30,100,282451
100,300,282946
300,10,283132
10,3,319987
3,10,336686
10,30,341609
30,100,343314
100,300,343797
300,10,344022
10,3,364117
3,10,380728
10,30,385636
30,100,387308
100,300,387817
300,10,388035
10,3,408019
3,10,424687
10,30,429693
30,100,431308
100,300,431793
300,10,432020
10,3,468378
3,10,485036
10,30,490015
30,100,491632
100,300,492126
300,10,492358
10,3,512471
3,10,529130
10,30,534005
30,100,535653
100,300,536144
300,10,536355
10,3,556394
3,10,573087
10,30,577946
30,100,579631
100,300,580141
300,10,580376
10,3,620210
3,10,636961
10,30,641869
30,100,643492
100,300,643972
300,10,644193
10,3,664288
3,10,681015
10,30,685872
30,100,687478
100,300,687984
300,10,688238
10,3,708288
3,10,724865
10,30,729826
30,100,731490
100,300,731974
300,10,732217
