Type,StartRow,EndRow,AvgDisp,Slope,Intercept,RValue,PValue,StdErr,Behavior
L,25213,479297,1330.24,2.133310e-04,0.159889,9.776743e-01,0.000000e+00,2.203131e-07,stable
U,514395,658096,5672.77,6.365173e-04,-3.174828,9.989531e-01,0.000000e+00,2.277537e-07,stable
L,658096,796959,5374.96,6.704478e-04,-3.166094,9.989517e-01,0.000000e+00,2.474388e-07,stable
U,1309951,1455600,11907.51,6.456132e-04,-7.250779,9.991785e-01,0.000000e+00,2.059355e-07,stable
L,1455600,1591901,11676.68,6.532110e-04,-7.189930,9.991845e-01,0.000000e+00,2.090547e-07,stable
U,2069767,2211937,17767.95,7.000660e-04,-12.001926,9.990900e-01,0.000000e+00,2.446705e-07,stable
L,2211937,2345689,17579.69,6.479399e-04,-10.953211,9.992478e-01,0.000000e+00,1.981516e-07,slow
U,2927389,3059720,23748.50,7.132307e-04,-16.502170,9.984334e-01,0.000000e+00,3.313191e-07,slow
L,3059720,3184557,23564.95,6.574318e-04,-15.055201,9.988297e-01,0.000000e+00,2.526147e-07,slow
U,3678911,3819153,29793.60,7.276904e-04,-21.244405,9.985824e-01,0.000000e+00,3.246849e-07,slow
L,3819153,3947282,29624.35,6.751176e-04,-19.562845,9.989107e-01,0.000000e+00,2.530310e-07,slow
U,4440324,4575887,35831.93,7.064969e-04,-24.879057,9.987019e-01,0.000000e+00,2.963889e-07,slow
L,4575887,4701897,35664.60,6.732034e-04,-23.572371,9.989618e-01,0.000000e+00,2.472956e-07,slow
U,4794993,4915923,37010.72,7.073226e-04,-25.742621,9.987285e-01,0.000000e+00,2.938345e-07,slow
