Event,StartRow,FailRow,EndRow,SlipDuration,Stiffness,NptsStiffness,StiffnessIntercept,FailTime,FailDisplacement,50_Mean_Velocity,Peak_Velocity
0,161938,162157,162426,2.690000,0.000040,219,0.303112,4604.900000,9222.090000,0.000000,0.000000
1,162426,162670,162952,2.820000,0.000034,227,0.360074,4610.030000,9283.740000,0.000000,0.000000
2,162952,163170,163373,2.030000,0.000043,181,0.273074,4615.030000,9342.990000,0.000000,0.000000
3,163373,163611,163818,2.070000,0.000061,225,0.106173,4619.440000,9396.250000,0.000000,0.000000
4,163818,164071,164324,2.530000,0.000060,253,0.105542,4624.040000,9451.650000,0.000000,0.000000
5,164324,164571,164801,2.300000,0.000065,238,0.060924,4629.040000,9511.520000,0.000000,0.000000
6,164801,165071,165303,2.320000,0.000075,222,-0.046635,4634.040000,9571.040000,0.000000,0.000000
7,165303,165535,165779,2.440000,0.000081,199,-0.102976,4638.680000,9626.170000,0.000000,0.000000
8,165779,166056,166272,2.160000,0.000087,224,-0.168875,4643.890000,9688.630000,0.000000,0.000000
9,166272,166544,166749,2.050000,0.000092,230,-0.218869,4648.770000,9747.610000,0.000000,0.000000
10,166749,167055,167232,1.770000,0.000105,267,-0.359124,4653.880000,9808.280000,0.000000,0.000000
11,167232,167521,167713,1.920000,0.000137,273,-0.672921,4658.540000,9864.280000,0.000000,0.000000
12,167713,168024,168209,1.850000,0.000165,281,-0.964117,4663.570000,9924.270000,0.000000,0.000000
13,168209,168542,168713,1.710000,0.000210,284,-1.418292,4668.750000,9986.700000,0.000000,0.000000
14,168713,169077,169230,1.530000,0.000237,321,-1.706753,4674.100000,10050.900000,0.000000,0.000000
15,169230,169632,169763,1.310000,0.000274,321,-2.093238,4679.650000,10116.800000,0.000000,0.000000
16,169763,170205,170298,0.930000,0.000305,299,-2.422459,4685.380000,10185.100000,0.000000,0.000000
17,170298,170795,170906,1.110000,0.000327,359,-2.667686,4691.280000,10256.100000,0.000000,0.000000
18,170906,171360,171484,1.240000,0.000314,352,-2.556969,4696.930000,10323.900000,0.000000,0.000000
19,171484,171946,172053,1.070000,0.000311,350,-2.554491,4702.790000,10393.600000,0.000000,0.000000
20,172053,172500,172613,1.130000,0.000312,308,-2.586244,4708.330000,10460.200000,0.000000,0.000000
21,172613,173075,173275,1.030000,0.000305,319,-2.532494,4714.080000,10528.900000,0.000000,0.000000
22,173275,177842,178825,0.980000,0.000282,4244,-2.307780,4719.680000,10593.900000,0.000000,0.000000
23,178825,183191,184383,1.200000,0.000295,4288,-2.468244,4725.020000,10658.500000,0.000000,0.000000
24,184383,189101,190027,0.930000,0.000293,4431,-2.459728,4730.930000,10728.000000,0.000000,0.000000
25,190027,194837,195931,1.090000,0.000309,4432,-2.653879,4736.670000,10800.200000,0.000000,0.000000
26,195931,200344,201533,1.190000,0.000297,4331,-2.550998,4742.180000,10864.200000,0.000000,0.000000
27,201533,206243,207380,1.130000,0.000303,4525,-2.635584,4748.080000,10937.500000,0.000000,0.000000
28,207380,211753,212923,1.170000,0.000300,4189,-2.624328,4753.590000,11004.100000,0.000000,0.000000
29,212923,217999,218880,0.880000,0.000309,4739,-2.742799,4759.830000,11078.200000,0.000000,0.000000
30,218880,223753,224846,1.090000,0.000312,4681,-2.791746,4765.590000,11143.400000,0.000000,0.000000
31,224846,229498,230571,1.070000,0.000312,4513,-2.817247,4771.330000,11215.100000,0.000000,0.000000
32,230571,235541,236487,0.950000,0.000315,4634,-2.875643,4777.370000,11287.800000,0.000000,0.000000
33,236487,241599,242595,1.000000,0.000317,4779,-2.916379,4783.430000,11358.300000,0.000000,0.000000
34,242595,247489,248475,0.990000,0.000322,4572,-3.001732,4789.320000,11430.500000,0.000000,0.000000
35,248475,253903,254784,0.880000,0.000329,5142,-3.108839,4795.740000,11510.500000,0.000000,0.000000
36,254784,259994,260922,0.930000,0.000324,4920,-3.075475,4801.830000,11581.000000,0.000000,0.000000
37,260922,266135,267072,0.940000,0.000325,4941,-3.102392,4807.970000,11653.100000,0.000000,0.000000
38,267072,272391,273074,0.690000,0.000330,4989,-3.189054,4814.220000,11731.200000,0.000000,0.000000
39,273074,278740,279725,0.990000,0.000340,5289,-3.330700,4820.570000,11802.300000,0.000000,0.000000
40,279725,285094,285876,0.780000,0.000332,4984,-3.258692,4826.930000,11883.100000,0.000000,0.000000
41,285876,291501,292375,0.880000,0.000334,5237,-3.311829,4833.330000,11958.100000,0.000000,0.000000
42,292375,297646,298530,0.880000,0.000330,4985,-3.289780,4839.480000,12029.500000,0.000000,0.000000
43,475906,709350,710093,0.750000,0.000328,227899,-3.311345,5251.180000,12485.200000,0.000000,0.000000
44,710093,716852,717399,0.540000,0.000378,6079,-4.034726,5258.690000,12568.900000,0.000000,0.000000
45,717399,724345,724865,0.520000,0.000377,6369,-4.059078,5266.180000,12663.300000,0.000000,0.000000
46,724865,732050,732570,0.520000,0.000379,6604,-4.117739,5273.880000,12754.200000,0.000000,0.000000
