Type,StartRow,EndRow,AvgDisp,Slope,Intercept,RValue,PValue,StdErr,Behavior
L,29684,54461,963.85,3.986491e-04,0.056610,9.992233e-01,0.000000e+00,3.097509e-07,stable
U,83100,87183,5878.74,3.170134e-03,-18.200872,9.992259e-01,0.000000e+00,6.923330e-06,stable
L,87183,91874,5826.45,2.859817e-03,-16.225141,9.997329e-01,0.000000e+00,3.464980e-06,stable
U,154379,158888,11937.16,3.425230e-03,-40.451565,9.993747e-01,0.000000e+00,6.950449e-06,stable
L,158888,163175,11892.59,3.171657e-03,-37.280801,9.996257e-01,0.000000e+00,4.763716e-06,stable
U,231134,235893,17955.62,3.499038e-03,-62.391578,9.994981e-01,0.000000e+00,6.468057e-06,stable
L,235893,239885,17920.12,3.259443e-03,-57.972570,9.995791e-01,0.000000e+00,5.313395e-06,stable
U,307709,311734,22335.18,3.743790e-03,-83.180079,9.908993e-01,2.271508e-222,3.197295e-05,stable
L,311734,315491,22303.70,3.416574e-03,-75.762702,9.943231e-01,2.889296e-320,2.021824e-05,stable
U,317015,320105,22547.97,3.740362e-03,-83.906603,9.911844e-01,4.182186e-253,2.956369e-05,stable
