RowNumber Stress
1132694.5471 8.2353
1138226.2828 8.2309
1145140.9524 8.2279
1151709.8885 8.2272
1158048.3356 8.2226
1164386.7828 8.2192
1171070.9634 8.2143
1177178.9215 8.2130
1183671.4738 8.2124
1189954.0985 8.2069
1196236.7233 8.2051
1202878.3552 8.2017
1209101.1454 8.1974
1215323.9357 8.1953
1222444.2437 8.1931
1229145.7101 8.1913
1235907.0111 8.1879
1243146.9882 8.1842
1250811.1481 8.1846
1258716.2884 8.1751
1266853.9328 8.1580
1275844.0923 8.1703
1285454.2628 8.1722
1293979.4141 8.1608
1303899.5902 8.1551
1313819.7662 8.1551
1323817.4436 8.1494
1334822.6389 8.1465
1344820.3163 8.1494
1355050.4978 8.1408
1365745.6876 8.1504
1376518.3788 8.1485
1387213.5686 8.1447
1397651.6513 8.1380
1408182.2104 8.1314
1419712.0195 8.1380
1431164.9633 8.1485
1442002.9839 8.1428
1453392.4613 8.1380
1463704.5557 8.1343
1475261.5410 8.1466
1485752.2160 8.1371
1496320.0283 8.1333
1506347.8794 8.1163
1589656.1808 8.1560
1599915.4438 8.1541
1609634.7457 8.1333
1620279.6953 8.1295
1630272.1966 8.1172
1642032.6019 8.1210
1652781.0973 8.1181
1663683.1426 8.1076
1674431.6380 8.1057
1685346.5240 8.1057
1694866.6199 8.0971
1705845.4402 8.0914
1716286.8357 8.0961
1727893.5103 8.0961
1738424.0693 8.1019
1748954.6284 8.0923
1760484.4375 8.1047
1771399.3235 8.1209
1781776.1518 8.1133
1792076.1146 8.1095
1802145.4813 8.1038
1812983.5019 8.0980
1824282.7149 8.1095
1833429.6968 8.0894
1844344.5829 8.0961
1853887.1180 8.0751
1864737.9039 8.0742
1876281.2931 8.0856
1886439.4756 8.0761
1897136.3497 8.0790
1906909.7526 8.0828
1916848.7599 8.0751
1927237.8103 8.0933
1936857.3013 8.1086
1946245.9246 8.0837
1956416.0716 8.0962
1966278.0325 8.0780
1975061.3413 8.0732
1985154.4418 8.0837
1994477.0766 8.0579
2005648.8291 8.0876
2015202.6037 8.0770
2025230.4548 8.0761
2034641.2073 8.0712
2044437.6465 8.0645
2053462.7124 8.0616
2063555.8130 8.0587
2073352.2521 8.0414
2084164.1959 8.0529
2094281.0862 8.0309
2104706.8892 8.0405
2114990.3337 8.0424
2125196.4590 8.0337
2135634.5418 8.0597
2145763.3480 8.0742
2155505.5586 8.0482
2166252.9178 8.0405
2177541.5110 8.0636
2187361.0407 8.0597
2197311.7545 8.0453
2206568.2324 8.0472
2215361.8864 8.0337
2226083.9734 8.0434
2236266.0991 8.0366
2246139.6756 8.0347
2255936.1147 8.0327
2266236.0776 8.0414
2277765.8867 8.0578
2288142.7150 8.0597
2298288.9470 8.0500
2308358.3137 8.0491
2318185.5095 8.0364
2329778.5295 8.0442
2341141.2246 8.0539
2351429.0702 8.0500
2362024.0157 8.0471
2372465.4112 8.0637
2382753.2568 8.0431
2393105.6840 8.0314
2403316.7546 8.0089
2413834.9251 8.0246
2424967.2953 8.0217
2435946.1156 8.0286
2446541.0611 8.0148
2457673.4313 8.0276
2467896.5288 8.0256
2478042.7608 8.0236
2486574.8196 7.9215
2711329.2329 7.9991
2721782.9266 8.0187
2732159.7548 8.0060
2742229.1215 7.9873
2752759.6805 8.0001
2762905.9126 7.9952
2772052.8945 7.9863
2781968.5304 7.9686
2792563.4759 7.9903
2802851.3215 8.0011
2813139.1670 7.9971
2823119.9128 7.9844
2833945.1831 7.9883
2843695.6039 7.9922
2854520.8743 8.0069
2864655.1699 8.0119
2874712.6906 8.0089
2885295.1718 7.9981
2895494.2297 7.9922
2905975.3219 7.9872
2915920.8839 7.9941
2926248.9674 7.9892
2936194.5294 7.9991
2945987.0827 8.0050
2956162.1576 8.0148
2966719.7542 8.0020
2977277.3507 8.0237
2987834.9472 8.0109
2997091.9703 8.0168
3007955.5841 8.0000
3017365.6158 8.0079
3028076.2210 8.0069
3037792.2700 8.0000
3048120.3536 7.9970
3058223.8173 8.0099
3068192.4702 8.0080
3078689.7637 8.0000
3087687.2402 7.9960
3098939.7347 8.0109
3108077.6665 8.0149
3118952.5605 8.0209
3129223.2937 8.0249
3138901.2517 8.0159
3148881.6458 8.0080
3158949.4932 8.0189
3169093.0387 8.0139
3178090.5152 8.0258
3188751.3908 8.0238
3199563.4845 8.0089
3209695.0967 8.0188
3220368.5289 8.0208
3229225.2067 8.0308
3238990.2617 8.0228
3250344.9768 8.0477
3260185.7299 8.0437
3269799.3887 8.0318
3280864.3286 8.0338
3290045.3880 8.0268
3301199.2370 8.0477
3310152.6668 8.0437
3320851.2566 8.0159
3330563.4517 8.0626
3340514.9836 8.0417
3349923.6726 8.0237
3359863.4972 8.0148
3370042.9268 8.0178
3380526.2201 8.0309
3390097.9226 8.0047
3400657.1817 8.0208
3411457.0439 8.0218
3421040.0201 8.0188
3431091.1532 8.0198
3440989.9963 8.0117
3451129.2024 8.0087
3461368.7213 8.0147
3471008.2660 8.0147
3481565.8625 8.0117
3490001.1736 8.0086
3500353.6008 8.0158
3509413.0469 8.0025
3520097.3367 8.0117
3530320.4342 8.0393
3539698.0123 8.0230
3550369.7327 8.0137
3560054.7724 8.0312
3569135.5720 8.0178
3579459.8122 8.0312
3588859.4936 8.0219
3598875.5476 8.0271
3609122.7412 8.0158
3618984.7020 8.0260
3628692.5697 8.0085
3638927.7082 8.0033
3649062.0038 8.0293
3658781.3056 8.0293
3668963.4314 8.0198
3679210.6250 8.0315
