MaxFrictionRow,MinFrictionRow
937083,940776
943728,947743
950241,954685
957826,961579
964840,968600
971775,975724
977828,981738
984884,988723
991307,995330
997805,1001067
1005358,1007987
1011442,1015022
1018198,1021970
1025176,1028406
1032118,1034512
1038872,1041147
1045675,1048031
1052774,1054899
1059997,1061885
1067294,1069284
1075101,1076920
1082812,1084473
1091236,1092922
1099429,1100965
1108005,1109254
1116574,1118132
1125210,1126585
1134150,1135498
1144453,1146060
1152082,1153163
1161179,1162243
1170688,1172005
1179783,1181031
1189245,1190256
1199466,1200695
1209341,1210642
1219153,1220207
1229213,1230307
1239064,1240235
1249190,1250131
1258824,1259740
1269082,1270070
1278977,1279951
1288614,1289648
1298434,1299324
1308703,1309705
1317843,1318712
1327801,1328720
1337675,1338659
1347344,1348430
1357456,1358337
1367124,1368013
1377119,1378172
1387178,1387888
1397096,1397816
1406471,1407335
1416694,1417425
1426684,1427570
1436766,1437690
1447002,1447732
1538202,1546888
1555477,1556005
1565250,1565957
1574745,1575511
1585038,1585733
1594445,1595038
1604452,1605209
1613900,1614606
1623306,1623912
1632954,1633495
1642316,1642996
1651775,1652315
1661779,1662450
1671858,1672389
1681692,1682436
1691790,1692489
1702097,1702621
1712010,1712509
1721812,1722506
1731687,1732262
1742086,1742672
1752256,1752808
1762235,1762806
1772360,1772877
1782915,1783508
1793414,1794055
1802388,1803866
1813776,1814314
1824660,1825147
1835723,1836176
1846201,1846845
1856871,1857838
1867824,1868333
1878230,1878773
1888190,1888810
1898650,1899150
1914102,1909932
1920000,1920608
1929922,1930578
1940748,1941269
1951317,1951943
1962314,1962843
1972761,1973382
1983767,1984247
1994404,1995025
2005448,2006030
2016379,2016756
2027125,2027664
2037462,2037844
2047657,2048320
2057913,2058360
2068829,2069441
2080173,2080687
2091464,2092038
2102436,2102875
2113738,2114226
2125071,2125442
2135712,2136307
2146230,2146791
2157472,2157964
2168296,2168699
2179467,2179934
2189555,2191233
2201688,2202092
2212798,2213270
2224680,2225127
2236228,2236720
2246889,2247420
2258121,2258639
2268667,2269205
2279322,2279841
2290434,2290868
2300457,2300872
2311439,2311879
2322350,2322725
2333247,2333727
2344079,2344768
2355681,2356214
2655691,2626575
2680743,2681018
2690211,2690896
2700449,2700997
2711326,2711717
2721792,2722444
2732680,2733164
2743382,2743922
2754196,2754707
2765190,2765647
2775997,2776432
2787449,2787892
2799183,2799512
2809909,2810275
2820680,2821094
2831993,2832571
2842673,2843039
2852857,2853340
2863394,2863907
2874007,2874654
2884270,2884798
2894652,2894974
2905384,2905793
2914913,2915503
2926008,2926462
2936473,2936948
2947448,2947900
2957821,2958330
2968940,2969292
2979305,2979896
2989682,2990206
3000092,3000574
3011117,3011603
3018483,3022699
3032754,3033172
3043844,3044276
3054257,3054816
3065726,3066232
3076635,3076939
3087194,3087885
3098057,3098510
3108107,3108544
3119067,3119629
3129633,3130026
3140432,3141113
3150698,3151326
3160665,3161180
3170904,3171494
3180801,3181195
3191193,3191485
3200670,3200979
3210898,3211301
3221477,3221911
3232123,3232655
3242284,3242656
3252683,3253138
3263732,3264069
3274311,3274736
3284437,3284905
3294820,3295299
3305456,3305927
3315458,3315995
3325855,3326360
3335385,3335978
3345351,3345760
3355454,3355828
3366449,3366924
3376714,3377402
3387899,3388319
