V0,V1,StepRow
10,3,75990
3,10,92635
10,30,97639
30,100,99293
100,300,99797
300,10,99962
10,3,119977
3,10,136674
10,30,141653
30,100,143301
100,300,143798
300,10,143964
10,3,192378
3,10,209116
10,30,214058
30,100,215707
100,300,216200
300,10,216367
10,3,236440
3,10,253111
10,30,258050
30,100,259707
100,300,260200
300,10,260370
10,3,280437
3,10,297079
10,30,302050
30,100,303704
100,300,304200
300,10,304366
10,3,346869
3,10,363591
10,30,368542
30,100,370186
100,300,370682
300,10,370846
10,3,390952
3,10,407610
10,30,412539
30,100,414185
100,300,414682
300,10,414845
10,3,434995
3,10,451606
10,30,456537
30,100,458187
100,300,458681
300,10,458847
10,3,493832
3,10,510498
10,30,515453
30,100,517099
100,300,517597
300,10,517761
10,3,537826
3,10,554509
10,30,559449
30,100,561098
100,300,561595
300,10,561764
10,3,581832
3,10,598495
10,30,603451
30,100,605100
100,300,605597
300,10,605761
10,3,639542
3,10,656236
10,30,661197
30,100,662849
100,300,663346
300,10,663511
10,3,683577
3,10,700242
10,30,705194
30,100,706850
100,300,707345
300,10,707512
10,3,727550
3,10,744257
10,30,749194
30,100,750850
300,10,751345
