Type,StartRow,EndRow,AvgDisp,Slope,Intercept,RValue,PValue,StdErr,Behavior
L,28902,71816,1509.12,2.052361e-04,0.132816,9.866711e-01,0.000000e+00,4.997781e-07,stable
U,76699,89100,5270.68,5.775759e-04,-2.606902,9.998444e-01,0.000000e+00,2.396052e-07,stable
L,91369,107453,5320.49,5.305586e-04,-2.385376,9.999381e-01,0.000000e+00,1.331235e-07,stable
U,169295,181690,11342.76,5.830116e-04,-6.175620,9.997978e-01,0.000000e+00,2.770271e-07,stable
L,182878,197485,11284.80,5.414613e-04,-5.672771,9.999122e-01,0.000000e+00,1.633605e-07,stable
U,451277,464760,17390.43,6.024759e-04,-10.040221,9.998693e-01,0.000000e+00,2.344843e-07,stable
L,467666,481758,17290.47,5.566374e-04,-9.187470,9.999203e-01,0.000000e+00,1.622318e-07,stable
U,1023636,1143957,23360.44,6.141768e-04,-13.911031,9.988882e-01,0.000000e+00,2.229810e-07,slow
L,1166781,1303044,23252.54,5.701226e-04,-12.819273,9.991151e-01,0.000000e+00,1.771560e-07,slow
U,4078819,4102457,29397.22,6.453099e-04,-18.533846,9.998886e-01,0.000000e+00,2.404919e-07,slow
L,4104965,4118297,29283.98,6.090293e-04,-17.397427,9.999757e-01,0.000000e+00,1.022425e-07,slow
U,4334128,4444071,35491.46,6.444925e-04,-22.437021,9.989256e-01,0.000000e+00,2.360865e-07,slow
L,4446856,4460135,35371.81,6.171098e-04,-21.390905,9.999336e-01,0.000000e+00,1.729961e-07,slow
U,4468587,4480765,36594.97,6.464285e-04,-23.219197,9.998368e-01,0.000000e+00,2.913042e-07,slow
