Type,StartRow,EndRow,AvgDisp,Slope,Intercept,RValue,PValue,StdErr,Behavior
L,277536,314157,1212.35,1.381901e-04,0.284627,8.852717e-01,0.000000e+00,1.025968e-06,stable
U,337507,346662,5472.26,1.047399e-03,-5.294982,9.999231e-01,0.000000e+00,4.121271e-07,stable
L,346662,356691,5402.25,1.009731e-03,-5.017095,9.999795e-01,0.000000e+00,2.014986e-07,stable
U,411087,420158,11550.11,1.118594e-03,-12.482558,9.997118e-01,0.000000e+00,8.807702e-07,stable
L,420158,430725,11487.27,1.057184e-03,-11.706738,9.995518e-01,0.000000e+00,1.008804e-06,stable
U,484849,494000,17604.24,1.157455e-03,-19.939800,9.999153e-01,0.000000e+00,5.025918e-07,stable
L,494000,504413,17526.44,1.080488e-03,-18.500151,9.999931e-01,0.000000e+00,1.292594e-07,stable
U,570559,578446,23586.42,1.227243e-03,-28.509755,9.998512e-01,0.000000e+00,7.249310e-07,stable
L,578446,587086,23508.82,1.141634e-03,-26.401159,9.999409e-01,0.000000e+00,4.128966e-07,stable
U,643096,652217,29646.94,1.242412e-03,-36.396798,9.998404e-01,0.000000e+00,7.591796e-07,stable
L,652217,662036,29568.85,1.158740e-03,-33.824724,9.999656e-01,0.000000e+00,3.200984e-07,stable
U,717127,725138,35708.77,1.318386e-03,-46.642154,9.998430e-01,0.000000e+00,8.322414e-07,stable
L,725138,734255,35636.01,1.247826e-03,-44.030288,9.999851e-01,0.000000e+00,2.339189e-07,stable
U,784956,792519,41325.04,1.372658e-03,-56.289188,9.999192e-01,0.000000e+00,6.301352e-07,stable
L,792519,800834,41263.40,1.312379e-03,-53.714874,9.999584e-01,0.000000e+00,4.271085e-07,stable
U,805629,811402,41972.90,1.389493e-03,-57.884313,9.998778e-01,0.000000e+00,7.874337e-07,stable
