Event,StartRow,FailRow,EndRow,SlipDuration,Stiffness,NptsStiffness,StiffnessIntercept,FailTime,FailDisplacement
0,1184116,1186343,1188236,1.890000,0.000035,2227,0.302248,3227.790000,11320.600000
1,1188236,1191159,1194502,3.350000,0.000026,2923,0.396618,3232.600000,11368.800000
2,1194502,1196549,1199110,2.560000,0.000027,2047,0.386059,3237.990000,11422.600000
3,1199110,1201086,1204759,3.670000,0.000033,1976,0.322214,3242.530000,11467.800000
4,1204759,1206355,1209243,2.890000,0.000046,1596,0.171124,3247.800000,11520.400000
5,1209243,1211242,1213980,2.730000,0.000073,1850,-0.152993,3252.690000,11569.200000
6,1213980,1216461,1219031,2.570000,0.000061,2481,-0.013204,3257.910000,11621.300000
7,1219031,1221778,1224045,2.270000,0.000070,2408,-0.118961,3263.220000,11674.400000
8,1224045,1226894,1229924,3.030000,0.000053,2849,0.075911,3268.340000,11725.300000
9,1229924,1232632,1234877,2.240000,0.000094,2331,-0.409737,3274.080000,11782.500000
10,1234877,1237939,1240620,2.680000,0.000083,3062,-0.284236,3279.380000,11835.400000
11,1240620,1243286,1245822,2.540000,0.000101,2317,-0.504717,3284.730000,11888.500000
12,1245822,1248400,1250753,2.360000,0.000109,2244,-0.610540,3289.840000,11939.700000
13,1250753,1253513,1256003,2.490000,0.000115,2760,-0.678999,3294.960000,11990.600000
14,1256003,1258977,1261173,2.200000,0.000116,2819,-0.698907,3300.420000,12045.100000
15,1261173,1264261,1266360,2.090000,0.000136,2901,-0.954568,3305.710000,12097.800000
16,1266360,1269433,1271764,2.330000,0.000151,2665,-1.138047,3310.880000,12149.400000
17,1271764,1274888,1276710,1.820000,0.000161,2657,-1.272694,3316.330000,12203.900000
18,1276710,1280189,1282218,2.030000,0.000159,3028,-1.246593,3321.630000,12256.700000
19,1282218,1285321,1287380,2.050000,0.000169,2861,-1.381275,3326.770000,12307.900000
20,1287380,1290513,1292651,2.140000,0.000175,2852,-1.465311,3331.960000,12359.700000
21,1292651,1295754,1297923,2.170000,0.000168,3050,-1.394832,3337.200000,12412.000000
22,1297923,1301036,1303067,2.030000,0.000220,2361,-2.041285,3342.480000,12464.800000
23,1303067,1306450,1308265,1.820000,0.000201,2773,-1.824229,3347.890000,12518.700000
24,1308265,1311856,1313623,1.770000,0.000242,2924,-2.339699,3353.300000,12572.600000
25,1313623,1317177,1319087,1.910000,0.000248,3206,-2.436239,3358.620000,12625.700000
26,1319087,1324528,1324539,0.010000,0.000285,2795,-2.910942,3365.970000,12700.100000
27,1324539,1327829,1329927,2.100000,0.000347,2161,-3.724017,3369.270000,12732.000000
28,1329927,1333487,1335373,1.890000,0.000338,2789,-3.620686,3374.930000,12788.500000
29,1335373,1339105,1340708,1.600000,0.000335,3085,-3.607515,3380.550000,12844.500000
30,1340708,1344624,1346454,1.830000,0.000349,3098,-3.804633,3386.070000,12899.600000
31,1346454,1350148,1352106,1.960000,0.000350,2978,-3.830831,3391.590000,12954.800000
32,1352106,1355900,1357514,1.620000,0.000367,2845,-4.075283,3397.340000,13012.100000
33,1357514,1361587,1363081,1.500000,0.000366,3274,-4.079403,3403.030000,13069.000000
34,1363081,1367371,1368894,1.520000,0.000383,3411,-4.328408,3408.820000,13126.500000
35,1368894,1373291,1374545,1.250000,0.000366,3636,-4.122274,3414.740000,13185.600000
36,1374545,1378594,1380266,1.670000,0.000374,3239,-4.254852,3420.040000,13238.400000
37,1380266,1384474,1386024,1.550000,0.000400,3157,-4.619726,3425.920000,13297.100000
38,1386024,1390028,1391876,1.850000,0.000411,2860,-4.793558,3431.470000,13352.500000
39,1391876,1395971,1397510,1.530000,0.000385,2956,-4.468792,3437.420000,13411.800000
40,1397510,1401614,1403196,1.580000,0.000398,3145,-4.664778,3443.060000,13468.000000
41,1403196,1407507,1408959,1.450000,0.000398,3294,-4.680944,3448.950000,13526.800000
42,1408959,1413233,1414843,1.610000,0.000401,3188,-4.748360,3454.680000,13583.800000
43,1414843,1418754,1420416,1.660000,0.000401,3070,-4.765401,3460.200000,13638.900000
44,1420416,1424674,1426102,1.430000,0.000418,3127,-5.030572,3466.120000,13698.200000
45,1426102,1430384,1432186,1.800000,0.000422,3443,-5.100124,3471.830000,13755.200000
46,1432186,1436336,1437938,1.600000,0.000427,3214,-5.197070,3477.780000,13814.600000
47,1437938,1442248,1443838,1.590000,0.000428,3285,-5.239667,3483.690000,13873.500000
48,1443838,1448189,1449643,1.460000,0.000438,3044,-5.398521,3489.630000,13932.600000
49,1449643,1454029,1455457,1.430000,0.000431,3327,-5.327694,3495.470000,13990.900000
50,1455457,1533557,1534185,0.630000,0.000460,3230,-5.765372,3575.000000,14102.000000
51,1534185,1551506,1552513,1.010000,0.000675,2728,-8.846458,3592.950000,14281.200000
52,1552513,1557839,1558649,0.810000,0.000598,3393,-7.863588,3599.280000,14344.000000
