MaxFrictionRow,MinFrictionRow
1116038,1119711
1122733,1124962
1127702,1130204
1133915,1136442
1139365,1142122
1145363,1147783
1150760,1153219
1156088,1158712
1161557,1164450
1167705,1170028
1173305,1175396
1179086,1180912
1185035,1186776
1191048,1192902
1197543,1199207
1203973,1205929
1210362,1212003
1217227,1218713
1223938,1225634
1228443,1232238
1237657,1239078
1244871,1246379
1251681,1253104
1259044,1260402
1266541,1268039
1273957,1275404
1281126,1282252
1288647,1289883
1295908,1297155
1303640,1305031
1311367,1312512
1319655,1320878
1327717,1328988
1335530,1336591
1343611,1344768
1351380,1352550
1359374,1360398
1367907,1369098
1376011,1377138
1384313,1385536
1392374,1393470
1400752,1402036
1409082,1410413
1417355,1418401
1425369,1426560
1433144,1434608
1440871,1441993
1449321,1450405
1457404,1458589
1465602,1466722
1473251,1474222
1567071,1567688
1575199,1575877
1583196,1583883
1590793,1591405
1598186,1598768
1605749,1606464
1613664,1614249
1621367,1622182
1629330,1630082
1636991,1637684
1644846,1645697
1651581,1652170
1658778,1659812
1666272,1667012
1674106,1674775
1681737,1682712
1689291,1690001
1696472,1697205
1703359,1704184
1710703,1711382
1719013,1719813
1726356,1727611
1734036,1734811
1741803,1742660
1749828,1750508
1757676,1758591
1764890,1765638
1772905,1773498
1781341,1782046
1789446,1790250
1797585,1798221
1805840,1806418
1813912,1814524
1822376,1823112
1830161,1830808
1838068,1838688
1845964,1846639
1854208,1854971
1862348,1863067
1870072,1870608
1877964,1878595
1886055,1886603
1894242,1894934
1902357,1903039
1910872,1911518
1919809,1920379
1928246,1928922
1936484,1937159
1944734,1945375
1953370,1954046
1961734,1962350
1970325,1970970
1978622,1979274
1986888,1987549
1995337,1996011
2003867,2004553
2012345,2012971
2023191,2023331
2029356,2030076
2037781,2038604
2046353,2046961
2055039,2055708
2063333,2063863
2071682,2072414
2080453,2081135
2088916,2089402
2097622,2098380
2106218,2106991
2114748,2115429
2123705,2124405
2132464,2133295
2141478,2142286
2150315,2151007
2159224,2159966
2167366,2168128
2176092,2176737
