Event,StartRow,FailRow,EndRow,SlipDuration,Stiffness,NptsStiffness,StiffnessIntercept,FailTime,FailDisplacement,50_Mean_Velocity,Peak_Velocity
0,1131555,1134460,1136853,2.390000,0.000022,2242,0.461551,3771.970000,10504.000000,9.436363,10.376850
1,1136853,1140205,1143396,3.190000,0.000019,3352,0.494264,3777.710000,10561.300000,9.335533,10.666888
2,1143396,1146116,1151175,5.060000,0.000025,2720,0.430170,3783.620000,10620.200000,9.414636,10.701751
3,1151175,1153119,1155882,2.770000,0.000065,616,-0.003070,3790.620000,10690.300000,9.042948,10.685542
4,1155882,1158458,1161425,2.970000,0.000022,2576,0.453683,3795.960000,10743.700000,9.184899,10.440271
5,1161425,1165242,1168256,3.010000,0.000022,3814,0.456310,3802.750000,10811.100000,9.298306,10.357306
6,1168256,1171498,1174618,3.120000,0.000038,2611,0.281271,3809.000000,10873.600000,8.861824,10.590382
7,1174618,1177994,1180544,2.550000,0.000049,1755,0.152387,3815.500000,10938.500000,9.127692,10.276014
8,1180544,1183469,1186278,2.810000,0.000031,2925,0.353264,3820.970000,10993.300000,8.988302,10.643475
9,1186278,1189471,1192596,3.120000,0.000038,3193,0.270190,3826.980000,11053.100000,8.999651,10.269477
10,1192596,1195150,1198380,3.230000,0.000064,2554,-0.015389,3832.660000,11108.600000,8.936956,10.452039
11,1198380,1200847,1203650,2.810000,0.000068,2467,-0.066271,3838.350000,11164.700000,8.712959,10.531464
12,1203650,1207191,1210374,3.180000,0.000070,3541,-0.089094,3844.700000,11225.200000,8.255195,11.069799
13,1210374,1213525,1216010,2.490000,0.000095,2999,-0.377757,3851.030000,11285.800000,8.267179,12.118654
14,1216010,1219943,1222500,2.560000,0.000123,3633,-0.701117,3857.450000,11349.700000,8.442328,13.399184
15,1222500,1225841,1228120,2.280000,0.000183,2283,-1.397728,3863.350000,11408.600000,7.991938,14.566022
16,1228120,1232065,1234160,2.100000,0.000191,3339,-1.495394,3869.570000,11470.700000,7.662898,16.436257
17,1234160,1238351,1240225,1.870000,0.000232,3418,-1.978670,3875.860000,11533.400000,7.104104,20.453649
18,1240225,1245005,1246780,1.780000,0.000263,3589,-2.356442,3882.510000,11599.800000,7.295730,26.273211
19,1246780,1251840,1253715,1.870000,0.000306,3462,-2.875939,3889.350000,11668.000000,6.492735,29.256091
20,1253715,1258853,1260691,1.840000,0.000320,3186,-3.060788,3896.360000,11737.700000,6.330782,31.005952
21,1260691,1266139,1267680,1.550000,0.000319,3965,-3.066901,3903.640000,11809.500000,6.556198,36.795115
22,1267680,1273483,1274927,1.440000,0.000340,3624,-3.339057,3910.990000,11882.800000,6.462219,45.885742
23,1274927,1280901,1282437,1.530000,0.000361,3531,-3.620653,3918.410000,11956.900000,6.660071,48.187510
24,1282437,1288268,1290016,1.750000,0.000361,3623,-3.647509,3925.770000,12030.300000,6.283346,50.772056
25,1290016,1295815,1297593,1.780000,0.000369,3539,-3.769528,3933.320000,12105.700000,6.238316,52.937618
26,1297593,1303687,1305129,1.440000,0.000375,3545,-3.866229,3941.190000,12184.300000,6.533480,64.273895
27,1305129,1311502,1313090,1.590000,0.000386,3675,-4.035720,3949.010000,12262.400000,5.996266,61.795110
28,1313090,1319254,1320581,1.330000,0.000384,3250,-4.040537,3956.760000,12339.700000,6.109561,98.386138
29,1320581,1327804,1329162,1.360000,0.000442,3043,-4.785122,3965.310000,12424.800000,5.556359,115.944103
30,1329162,1336913,1338349,1.430000,0.000462,2499,-5.074595,3974.420000,12515.800000,5.615371,82.357494
31,1338349,1345068,1346310,1.250000,0.000416,3465,-4.531654,3982.570000,12597.100000,6.145016,120.489823
32,1346310,1353772,1355362,1.590000,0.000474,2836,-5.308346,3991.280000,12684.000000,5.479080,87.083768
33,1355362,1361933,1363177,1.240000,0.000438,2297,-4.883157,3999.440000,12765.500000,5.847326,159.771233
34,1363177,1371799,1373878,2.080000,0.000513,2909,-5.881789,4009.300000,12863.700000,5.271133,37.403923
35,1373878,1378917,1380057,1.140000,0.000332,3525,-3.595651,4016.420000,12935.300000,6.451333,122.359613
