RowNumber Stress
1097241.7097 7.5166
1104388.4710 7.5120
1110689.9164 7.5050
1117606.1371 7.5043
1123830.7357 7.5035
1130209.0280 7.5019
1136587.3204 7.4966
1143042.4597 7.4958
1149113.3644 7.4942
1155030.5754 7.4888
1161869.9492 7.4850
1167787.1602 7.4796
1173781.2180 7.4757
1179775.2759 7.4765
1186076.7214 7.4704
1192531.8607 7.4688
1199071.6267 7.4618
1206073.0233 7.4618
1213689.9273 7.4642
1221152.9544 7.4564
1229693.1195 7.4549
1237771.6540 7.4696
1246081.0038 7.4580
1254928.9226 7.4588
1264161.5334 7.4502
1273086.3906 7.4526
1282549.8168 7.4642
1292167.1198 7.4595
1301784.4228 7.4720
1310555.4031 7.4571
1320852.8872 7.4627
1329382.8926 7.4232
1339898.3930 7.4668
1348725.2728 7.4161
1359624.5505 7.4478
1369986.5399 7.4232
1380732.3066 7.4541
1391401.3179 7.4224
1401686.5518 7.4541
1412202.0521 7.4264
1423485.1072 7.4446
1433988.0980 7.4351
1444797.7455 7.4296
1455914.0496 7.4209
1466914.3372 7.4169
1477227.1069 7.4026
1488546.4238 7.4145
1584454.6904 7.4034
1594779.7431 7.4074
1604722.3863 7.4161
1614435.5840 7.4058
1624990.0822 7.4002
1634856.2436 7.3954
1646391.2675 7.3962
1655481.7829 7.3915
1666711.2432 7.3899
1677635.1400 7.3915
1687107.6099 7.3939
1699177.3699 7.4074
1708867.4712 7.3995
1719854.6726 7.4122
1730231.4739 7.4130
1740531.9752 7.4074
1751595.4766 7.4177
1761883.7241 7.4209
1773986.5784 7.4177
1784490.9426 7.4169
1794455.2225 7.4146
1804494.9893 7.4122
1816799.3653 7.4034
1826159.7494 7.4082
1838162.1775 7.4281
1848050.9704 7.4257
1859449.5028 7.4169
1871149.9830 7.4105
1880736.8280 7.4121
1891957.6415 7.4081
1902651.3027 7.3993
1911763.5069 7.4089
1922155.9382 7.4081
1932698.9844 7.4025
1941961.8036 7.3976
1951815.3466 7.4000
1962641.4084 7.4088
1974357.2835 7.4224
1983107.1142 7.3937
1993636.5715 7.3913
2004017.7267 7.4000
2014423.3699 7.3944
2023943.4266 7.3832
2034570.4665 7.3848
2044779.7860 7.3872
2055452.3072 7.3880
2064955.2371 7.3783
2075116.0621 7.3783
2085130.6882 7.3759
2095657.0105 7.3791
2106781.3623 7.3735
2116526.7635 7.3791
2126931.6280 7.3622
2136310.6608 7.3694
2148225.8728 7.3759
2157582.6037 7.3613
2168108.9260 7.3646
2177100.1597 7.3719
2187699.5814 7.3630
2198006.6053 7.3841
2207363.3363 7.3605
2218620.6532 7.3703
2228050.4836 7.3744
2239453.9994 7.3744
2248895.0611 7.3900
2259067.9881 7.3867
2269460.4747 7.3973
2278462.4173 7.3940
2289001.2769 7.4054
2299393.7635 7.3720
2310238.2701 7.3891
2320423.3135 7.3834
2329006.5465 7.3851
2341184.4668 7.3965
2351099.9929 7.3932
2362117.2442 7.4071
2372006.2953 7.3841
2382142.1665 7.4012
2389340.1040 7.2568
2726575.3841 7.3911
2736649.7917 7.4026
2744003.3740 7.3705
2754739.6040 7.3853
2764372.7967 7.3837
2775329.6342 7.3820
2785109.8985 7.3754
2795184.3061 7.3854
2805111.6421 7.3820
2814818.3706 7.3887
2824146.3101 7.3795
2834990.8167 7.3879
2844223.3021 7.3829
2853822.1559 7.3753
2862688.2728 7.3677
2872213.8530 7.3668
2882679.5261 7.3702
2892266.9609 7.3710
